#RA DEC ID
83.77686806 -5.36876694 264
83.77680889 -5.45134306 265
83.77673500 -5.55999889 266
83.77739806 -5.27334889 267
83.77710389 -5.28956889 268
83.77720000 -5.41151000 269
83.77730306 -5.41709306 270
83.77709889 -5.44861000 271
83.77743611 -5.54747389 272
83.77782306 -5.37903806 273
83.77750694 -5.44754889 274
83.77873889 -5.36923694 275
83.77885806 -5.37895000 276
83.77909000 -5.40586000 277
83.77889000 -5.43348889 278
83.77943000 -5.41684306 279
83.77988389 -5.30848806 280
83.77960194 -5.44733111 281
83.78033694 -5.37404889 282
83.78017611 -5.38152806 283
83.78006000 -5.44401889 284
83.78081000 -5.37472111 285
83.78068194 -5.49464500 286
83.78099611 -5.38382611 287
83.78087111 -5.43003611 288
83.78106194 -5.44449611 289
83.78147389 -5.33056500 290
83.78226611 -5.35040694 291
83.78221694 -5.35747889 292
83.78214694 -5.41468194 293
83.78245000 -5.44060000 294
83.78285611 -5.28482000 295
83.78285389 -5.34166611 296
83.78274306 -5.48821611 297
83.78332611 -5.33424111 298
83.78318611 -5.35475306 299
83.78348500 -5.54553389 300
83.78383694 -5.50623500 301
83.78432000 -5.34635000 302
83.78435306 -5.40090111 303
83.78446111 -5.48675111 304
83.78464694 -5.25072889 305
83.78462194 -5.32054611 306
83.78465111 -5.32699500 307
83.78461500 -5.40969194 308
83.78481000 -5.46583611 309
83.78512806 -5.35542889 310
83.78508806 -5.37505806 311
83.78517111 -5.38471194 312
83.78502111 -5.47483389 313
83.78576806 -5.41118111 314
83.78553500 -5.41157389 315
83.78580500 -5.41710389 316
83.78558500 -5.42168194 317
83.78610611 -5.27039389 318
83.78589389 -5.27980389 319
83.78585889 -5.43874694 320
83.78641889 -5.38241111 321
83.78625306 -5.48377000 322
83.78694389 -5.28495806 323
83.78697500 -5.53024389 324
83.78724806 -5.32590694 325
83.78768500 -5.38312694 326
83.78777611 -5.49977806 327
83.78816000 -5.28109000 328
83.78863000 -5.28002500 329
83.78839611 -5.51624500 330
83.78895694 -5.36153000 331
83.78952111 -5.34962694 332
83.78972389 -5.36335111 333
83.78960306 -5.46357111 334
83.79029389 -5.35690194 335
83.79039306 -5.36443611 336
83.79035500 -5.39887889 337
83.79021611 -5.43985111 338
83.79001306 -5.46669000 339
83.79000500 -5.47305111 340
83.79074194 -5.35785111 341
83.79073111 -5.39081806 342
83.79073389 -5.40186500 343
83.79108889 -5.31637889 344
83.79109611 -5.32606694 345
83.79092389 -5.43068194 346
83.79123806 -5.44302000 347
83.79101306 -5.46477389 348
83.79128889 -5.39404111 349
83.79176000 -5.24921000 350
83.79184806 -5.28534889 351
83.79176611 -5.30459306 352
83.79197000 -5.33457806 353
83.79179389 -5.40052806 354
83.79199000 -5.43839000 355
83.79242194 -5.32547111 356
83.79229889 -5.37570194 357
83.79235111 -5.46611306 358
83.79279889 -5.28880194 359
83.79255306 -5.30937111 360
83.79250306 -5.33913500 361
83.79277000 -5.36583389 362
83.79279000 -5.38786389 363
83.79258611 -5.38931806 364
83.79282000 -5.43989000 365
83.79296389 -5.33229194 366
83.79302194 -5.35359000 367
83.79323806 -5.38325111 368
83.79295000 -5.40477194 369
83.79326806 -5.41430889 370
83.79316389 -5.48425111 371
83.79294306 -5.54363611 372
83.79358694 -5.35901111 373
83.79347500 -5.35958694 374
83.79362111 -5.36373694 375
83.79355389 -5.37313694 376
83.79374694 -5.37937306 377
83.79368806 -5.43343806 378
